field,description,unit,source_field,source_sheets,transformation,missing_data_rule,publication_role
municipality_code,Stable four-digit municipality identifier used for every join.,code,Muni-code (column A),2015 Summary through 2025 Summary,Left-pad numeric representations to four digits.,Never missing for an accepted panel row.,traceability or audit field
municipality_name,Plain-language display name assigned from the municipality code.,text,Project code-to-name lookup,2015 Summary through 2025 Summary,Map only after joining on municipality_code.,Never missing for a target code.,traceability or audit field
source_municipality_name,Municipality label exactly as distributed in the source sheet.,text,Municipality,2015 Summary through 2025 Summary,Trim surrounding whitespace; otherwise preserve.,Retain source text even when the display name differs.,traceability or audit field
budget_year,Year named by the annual Summary sheet.,year,Annual sheet name,2015 Summary through 2025 Summary,Parse the leading four-digit year from the sheet name.,Must be one of 2015 through 2025.,traceability or audit field
population_estimate,Population value reported on the annual Summary sheet.,people,Annual population column (I),2015 Summary through 2025 Summary,Convert numeric source value; do not interpolate.,"'No data' becomes null, never zero.",traceability or audit field
population_source_label,Full annual source header identifying the population vintage.,text,Summary sheet header row 5,2015 Summary through 2025 Summary,Preserve source header text.,Never missing when the workbook contract passes.,traceability or audit field
net_debt,"Gross debt less deductions, as reported by NJ DCA.",current dollars,Net Debt,2015 Summary through 2025 Summary,Convert numeric source value and round to cents; no inflation adjustment.,'No data' becomes null; reported numeric zero stays zero.,public metric
per_capita_net_debt,Per-capita net debt distributed in the source workbook.,current dollars per person,Per Capita Net Debt,2015 Summary through 2025 Summary,Retain the reported numeric value; do not replace mismatches.,'No data' becomes null.,traceability or audit field
calculated_per_capita_net_debt,Audit comparison: reported net debt divided by reported population.,current dollars per person,Derived from net_debt and population_estimate,2015 Summary through 2025 Summary,net_debt / population_estimate when both are available.,Null when either input is unavailable or population is not positive.,traceability or audit field
tax_collection_pct,Previous calendar year's tax levy that was collected.,percentage points,"% of Taxes Collected, CY [year]",2015 Summary through 2025 Summary,Multiply the source fraction by 100.,'No data' becomes null.,public metric
tax_collection_reference_year,Calendar year named in the tax-collection source header.,year,"% of Taxes Collected, CY [year]",2015 Summary through 2025 Summary,Parse the four-digit CY year from the header.,Never missing when the workbook contract passes.,traceability or audit field
no_ufb_available,Source flag that NJ DCA has no User-Friendly Budget on file.,boolean,No UFB Available,2015 Summary through 2025 Summary,X becomes true; blank becomes false.,"Blank means the flag is not asserted, not that all data are complete.",traceability or audit field
significant_data_missing,Source flag that at least one entire UFB section was blank.,boolean,Sig. Data Missing,2015 Summary through 2025 Summary,X becomes true; blank becomes false.,Blank means the flag is not asserted.,traceability or audit field
missingness_reason,Combined explanation of source flags and explicit 'No data' fields.,text,Source flags and field values,2015 Summary through 2025 Summary,Concatenate only observed source evidence; do not infer a cause.,Blank when no source missingness evidence is present.,traceability or audit field
total_structural_imbalances,Total of source-identified structural imbalances including offsets.,current dollars,Total Imbalances,2015 Summary through 2025 Summary,Convert numeric source value and round to cents.,'No data' becomes null; retained as audit-only in v0.1.,traceability or audit field
