municipality_code,municipality_name,budget_year,field,source_value,issue,treatment,publication_status,explanatory_note,source_sheet,source_cell
1103,Hamilton,2015,significant_data_missing,X,NJ DCA marks Significant Data Missing.,Row retained; source values normalized without imputation.,included as source flag in downloadable audit panel; row excluded from net-debt chart and latest-valid debt and tax selections,The source glossary says at least one entire UFB section was left blank.,2015 Summary,G292
1103,Hamilton,2016,significant_data_missing,X,NJ DCA marks Significant Data Missing.,Row retained; source values normalized without imputation.,included as source flag in downloadable audit panel; row excluded from net-debt chart and latest-valid debt and tax selections,The source glossary says at least one entire UFB section was left blank.,2016 Summary,G292
1103,Hamilton,2018,significant_data_missing,X,NJ DCA marks Significant Data Missing.,Row retained; source values normalized without imputation.,included as source flag in downloadable audit panel; row excluded from net-debt chart and latest-valid debt and tax selections,The source glossary says at least one entire UFB section was left blank.,2018 Summary,G292
1103,Hamilton,2018,tax_collection_pct,No data,Source explicitly reports 'No data'.,Normalized to null; row retained; no imputation.,included as null in downloadable audit panel; excluded from latest-valid tax selection,Textual missingness is preserved as null and never converted to numeric zero.,2018 Summary,P292
1103,Hamilton,2019,significant_data_missing,X,NJ DCA marks Significant Data Missing.,Row retained; source values normalized without imputation.,included as source flag in downloadable audit panel; row excluded from net-debt chart and latest-valid debt and tax selections,The source glossary says at least one entire UFB section was left blank.,2019 Summary,G292
1103,Hamilton,2019,tax_collection_pct,No data,Source explicitly reports 'No data'.,Normalized to null; row retained; no imputation.,included as null in downloadable audit panel; excluded from latest-valid tax selection,Textual missingness is preserved as null and never converted to numeric zero.,2019 Summary,P292
1103,Hamilton,2020,tax_collection_pct,No data,Source explicitly reports 'No data'.,Normalized to null; row retained; no imputation.,included as null in downloadable audit panel; excluded from latest-valid tax selection,Textual missingness is preserved as null and never converted to numeric zero.,2020 Summary,P292
1103,Hamilton,2024,three_year_average_property_valuation,52096645.84,2024 cached valuation is sharply below adjacent years (at least 203.0x scale difference).,Raw value retained for audit; valuation-derived ratio excluded; reported net debt left unchanged.,"included in downloadable audit panel; excluded from charts, latest-valid table, and interpretive claims",The 2024 workbook cell is an external-workbook VLOOKUP and its cached value is unreconciled.,2024 Summary,LW291
1107,Lawrence,2018,significant_data_missing,X,NJ DCA marks Significant Data Missing.,Row retained; source values normalized without imputation.,included as source flag in downloadable audit panel; row excluded from net-debt chart and latest-valid debt and tax selections,The source glossary says at least one entire UFB section was left blank.,2018 Summary,G296
1107,Lawrence,2019,significant_data_missing,X,NJ DCA marks Significant Data Missing.,Row retained; source values normalized without imputation.,included as source flag in downloadable audit panel; row excluded from net-debt chart and latest-valid debt and tax selections,The source glossary says at least one entire UFB section was left blank.,2019 Summary,G296
